변환,원자료,원자료,원자료,원자료
"2011/01","115.44","112.1","88.288","2.75"
"2011/02","102.18","109.8","88.892","2.75"
"2011/03","97.23","98.8","89.238","3.00"
"2011/04","107.81","100.9","89.325","3.00"
"2011/05","103.83","104.6","89.497","3.00"
"2011/06","100.81","102.2","89.67","3.25"
"2011/07","106.13","102.6","90.102","3.25"
"2011/08","85.55","98.0","90.707","3.25"
"2011/09","88.83","97.3","90.62","3.25"
"2011/10","97.82","99.9","90.448","3.25"
"2011/11","96.28","104.4","90.534","3.25"
"2011/12","97.06","98.4","90.879","3.25"
"2012/01","102.46","97.1","91.242","3.25"
"2012/02","97.58","101.4","91.588","3.25"
"2012/03","105.26","101.9","91.614","3.25"
"2012/04","103.14","106.2","91.605","3.25"
"2012/05","94.17","106.5","91.769","3.25"
"2012/06","94.31","100.6","91.639","3.25"
"2012/07","91.13","99.3","91.432","3.00"
"2012/08","89.59","99.7","91.855","3.00"
"2012/09","95.23","97.7","92.512","3.00"
"2012/10","92.47","99.0","92.339","2.75"
"2012/11","97.22","99.2","92.011","2.75"
"2012/12","98.35","98.1","92.175","2.75"
"2013/01","99.16","101.6","92.728","2.75"
"2013/02","93.21","101.0","93.038","2.75"
"2013/03","96.32","104.0","92.952","2.75"
"2013/04","92.53","101.4","92.823","2.75"
"2013/05","97.91","103.9","92.823","2.50"
"2013/06","89.86","104.8","92.71","2.50"
"2013/07","95.38","104.4","92.909","2.50"
"2013/08","92.28","104.7","93.238","2.50"
"2013/09","103.88","101.2","93.419","2.50"
"2013/10","94.86","106.3","93.134","2.50"
"2013/11","100.96","107.8","93.116","2.50"
"2013/12","96.59","107.1","93.229","2.50"
"2014/01","93.56","109.7","93.73","2.50"
"2014/02","97.52","108.7","93.98","2.50"
"2014/03","104.12","109.2","94.153","2.50"
"2014/04","104.79","109.2","94.214","2.50"
"2014/05","102.91","105.0","94.369","2.50"
"2014/06","101.99","107.7","94.248","2.50"
"2014/07","104.41","105.2","94.386","2.50"
"2014/08","108.61","107.1","94.551","2.25"
"2014/09","102.21","108.0","94.49","2.25"
"2014/10","96.51","105.3","94.205","2.00"
"2014/11","105.14","103.1","94.015","2.00"
"2014/12","100.09","101.5","94.006","2.00"
"2015/01","104.49","102.9","94.643","2.00"
"2015/02","106.28","103.6","94.587","2.00"
"2015/03","112.70","101.8","94.596","1.75"
"2015/04","115.28","104.6","94.625","1.75"
"2015/05","109.25","105.9","94.89","1.75"
"2015/06","100.91","98.7","94.909","1.50"
